GEOID,poverty_rate,poverty_rate_z,renter_rate,renter_rate_z,old_building_rate,old_building_rate_z,housing_structural_index
17031050500,2.32,-1.088184623836746,43.05,0.02019089165678711,62.12,1.283347534013881,0.21535380183392183
17031050600,5.45,-0.820279846838931,49.42,0.2893060697713663,61.46,1.2562155791149725,0.7252418020474078
17031050700,10.14,-0.41885064424476054,50.49,0.33451066012970215,65.85,1.436684188215289,1.3523442041002305
17031050800,1.93,-1.1215657302358348,42.83,0.010896489900867634,45.27,0.5906605036402277,-0.5200087366947395
17031050900,4.63,-0.8904657628575279,65.03,0.9487861216345653,57.49,1.0930127594957793,1.1513331182728166
17031051000,3.17,-1.0154309304028346,31.4,-0.4719899285998604,49.19,0.7518078721307154,-0.7356129868719795
17031051100,8.29,-0.5771969181891562,45.4,0.11947200132229119,43.18,0.50474264646035,0.04701772959348505
17031051200,6.39,-0.7398228211590758,54.14,0.48871323471654876,44.36,0.5532512930977928,0.3021417066552657
17031051300,2.17,-1.1010235109133186,22.84,-0.8336266514665474,40.58,0.39785918776767937,-1.5367909746121866
17031051400,6.1,-0.7646446695071163,40.49,-0.08796214695754898,41.75,0.4459567441793812,-0.4066500722852841
17031060100,3.52,-0.9854735272241651,36.63,-0.2510366504932279,65.74,1.4321621957321375,0.19565201801474452
17031060200,5.84,-0.7868987404398421,62.68,0.8495050119690613,61.51,1.2582710302436775,1.3208773017728968
17031060300,3.04,-1.0265579658691977,54.9,0.5208211680551798,72.37,1.704715015398448,1.1989782175844301
17031060400,3.28,-1.0060157465466815,53.87,0.47730646892519285,38.23,0.30125298471853473,-0.22745629290295383
17031060500,22.89,0.6724547572639114,72.09,1.2470519234381647,37.01,0.2510999771781278,2.170606657880204
17031060800,8.89,-0.5258413698828657,54.38,0.4988525820866429,17.78,-0.5394265269218933,-0.5664153147181161
17031060900,9.91,-0.4385369377621719,48.17,0.23649696888545987,24.73,-0.2537188200318701,-0.4557587889085821
17031061000,12.22,-0.24081807678295367,72.27,1.254656433965735,41.68,0.4430791125991939,1.4569174697819751
17031061100,5.7,-0.7988817017113099,67.11,1.0366604655087135,36.56,0.23260091701978117,0.47037968081718473
17031061200,3.75,-0.9657872337067538,60.0,0.736282299669678,51.55,0.8488251654056009,0.6193202313685251
17031061500,10.05,-0.4265539764907041,58.07,0.6547450479018384,70.08,1.6105753537037495,1.8387664251148839
17031061800,9.67,-0.4590791570846881,78.01,1.4971558252338175,44.88,0.574627984836327,1.6127046529854563
